Country,Indicator,Source,Unit,Currency,Frequency,Country Code,Time,Amount
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2007-07-01,-20267
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2007-10-01,-35830
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2008-01-01,-50425
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2008-04-01,-67563
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2008-07-01,-25065
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2008-10-01,-38512
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2009-01-01,-59290
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2009-04-01,-72379
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2009-07-01,-37176
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2009-10-01,-58658
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2010-01-01,-92356
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2010-04-01,-98886
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2010-07-01,-38172
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2010-10-01,-56703
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2011-01-01,-97209
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2011-04-01,-134138
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2011-07-01,-46603.42
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2011-10-01,-74725
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2012-01-01,-116067
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2012-04-01,-165689
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2012-07-01,-58499
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2012-10-01,-95120
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2013-01-01,-181193
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2013-04-01,-246853
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2013-07-01,-60756
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2013-10-01,-94485
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2014-01-01,-150366
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2014-04-01,-254715
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2014-07-01,-81544
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2014-10-01,-146318
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2015-01-01,-232734
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2015-04-01,-284314
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2015-07-01,-75640
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2015-10-01,-164551
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2016-01-01,-244653
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2016-04-01,
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2016-07-01,
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2016-10-01,
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2017-01-01,-277504
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2017-04-01,-366401
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2017-07-01,-101134
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2017-10-01,-201762
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2018-01-01,-285441
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2018-04-01,-425385
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2018-07-01,
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2018-10-01,-206271
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2019-01-01,-304022
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2019-04-01,-423019
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2019-07-01,-126189
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2019-10-01,-194626
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2020-01-01,-287190
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2020-04-01,-408509
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2020-07-01,-144732
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2020-10-01,-243544
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2021-01-01,-334758
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2021-04-01,-459449
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2021-07-01,-157617
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2021-10-01,-250225
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2022-01-01,-364904
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2022-04-01,-477486
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2022-07-01,-145891
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2022-10-01,-325260
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2023-01-01,-514844
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2023-04-01,-580182
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2023-07-01,-414431
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2015-01-01,-30882.1
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2016-01-01,-36073.4
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2017-01-01,-59444
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2018-01-01,-66643.2
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2019-01-01,-68169.2
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2020-01-01,-93277.4
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2021-01-01,-120118.5
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2022-01-01,-212345.4
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2023-01-01,-221184.9
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2024-01-01,-246950.7
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-01-01,-329.9
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-02-01,-186
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-03-01,119.3
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-04-01,-224.1
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-05-01,-155
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-06-01,-137.4
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-07-01,-391.2
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-08-01,-241.1
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-09-01,-555.9
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-10-01,-612.9
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-11-01,-1987.1
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-12-01,425.1
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-01-01,-590
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-02-01,38.6
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-03-01,165
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-04-01,-258.8
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-05-01,-484.9
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-06-01,11.6
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-07-01,-1501.6
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-08-01,-1159.7
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-09-01,-808.8
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-10-01,-1285.2
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-11-01,-4588.7
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-12-01,-1104.4
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-01-01,-250.5
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-02-01,21.5
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-03-01,-107.4
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-04-01,-673.9
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-05-01,-886.2
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-06-01,-544.6
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-07-01,-857.4
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-08-01,-332.6
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-09-01,-585.8
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-10-01,-944.6
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-11-01,-507.9
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-12-01,-1547.4
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-01-01,-927.8
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-02-01,-619.5
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-03-01,507.8
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-04-01,-1196.7
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-05-01,-161.1
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-06-01,337
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-07-01,-278.9
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-08-01,-1580.4
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-09-01,-429.4
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-10-01,-289.3
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-11-01,135.3
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-12-01,-1813.3
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-01-01,-368.6
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-02-01,-726.5
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-03-01,-1205.1
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-04-01,-395
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-05-01,-1081.1
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-06-01,-1172.8
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-07-01,-1474.4
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-08-01,-1419.8
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-09-01,-1839.3
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-10-01,-1148
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-11-01,-1902.7
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-12-01,-4713.6
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-01-01,-410.5
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-02-01,-271.8
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-03-01,-660.3
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-04-01,-772
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-05-01,-2018.7
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-06-01,-1293.8
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-07-01,-1040.7
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-08-01,-435.8
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-09-01,-1090.2
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-10-01,-1135.6
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-11-01,-1264.7
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-12-01,-672.5
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2018-01-01,-1556.3
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2018-02-01,-783.2
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2018-03-01,-738.8
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2018-04-01,-1785.5
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2018-05-01,-746.5
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2018-06-01,-396.8
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2018-07-01,-2158.9
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2018-08-01,8.3
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2018-09-01,-882.6
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2018-10-01,-1384.1
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2018-11-01,-977.2
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2018-12-01,841.6
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2019-01-01,-1072.3
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2019-02-01,-1862.4
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2019-03-01,-1250.6
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2019-04-01,-1799.6
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2019-05-01,-2276
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2019-06-01,-1227.1
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2019-07-01,-2942.3
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2019-08-01,-582
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2019-09-01,-1783.8
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2019-10-01,-1003.9
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2019-11-01,-1083.5
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2019-12-01,3758.2
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2020-01-01,-2594.2
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2020-02-01,-3287.4
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2020-03-01,-5108.9
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2020-04-01,-3444
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2020-05-01,-3250.7
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2020-06-01,-4909.6
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2020-07-01,-3621.1
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2020-08-01,-3840.5
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2020-09-01,-3689.2
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2020-10-01,-2573.2
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2020-11-01,-3438.4
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2020-12-01,-1514.8
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2021-01-01,-1992.5
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2021-02-01,-3415.2
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2021-03-01,-2906.9
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2021-04-01,-2090.5
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2021-05-01,-3700.1
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2021-06-01,-3320.7
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2021-07-01,-3811.3
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2021-08-01,-4424
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2021-09-01,-2815
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2021-10-01,-2647.9
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2021-11-01,-6484.2
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2021-12-01,-1571.1
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2022-01-01,-5013.4
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2022-02-01,-3817.9
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2022-03-01,-4448.2
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2022-04-01,-1639.2
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2022-05-01,-5203.5
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2022-06-01,-4500.1
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2022-07-01,-2400.7
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2022-08-01,-4075.3
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2022-09-01,-3869.6
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2022-10-01,-5705.2
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2022-11-01,-4990.4
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2022-12-01,-22742.3
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2023-01-01,-3333.4
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2023-02-01,-4475
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2023-03-01,-2031.2
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2023-04-01,-2559
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2023-05-01,-1711.9
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2023-06-01,2018.3
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2023-07-01,-405.3
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2023-08-01,-3637.5
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2023-09-01,-4405.3
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2023-10-01,-231.4
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2023-11-01,-1483.4
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2023-12-01,3617.1
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2024-01-01,-9420.05
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2024-02-01,-7045.45
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2024-03-01,-3852.15
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2024-04-01,-3658.04
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2024-05-01,-2459.69
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2024-06-01,3245.55
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2024-07-01,-14497.37
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2024-08-01,-19123.72
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2024-09-01,-10434.7
